id,japaneseName,family,photo,dateTaken,placeName,latitude,longitude,prefecture,country,individualType,memo,speciesGroupID
92,コゲラ,キツツキ科,/写真保管フォルダ/コゲラ_1_20240430_大阪城公園.jpg,2024/4/30,大阪城公園,34.686603,135.527473,大阪府,日本,,,コゲラ
93,ミサゴ,ミサゴ科,/写真保管フォルダ/ミサゴ_1_20240429_南港野鳥園.jpg,2024/4/29,南港野鳥園,34.3854,135.23589,大阪府,日本,,,ミサゴ
94,モズ,モズ科,/写真保管フォルダ/モズ_2_20240115_鵜殿.jpg,2024/1/15,鵜殿,34.85385666,135.6568714,大阪府,日本,成鳥メス,,モズ
95,キセキレイ,セキレイ科,/写真保管フォルダ/キセキレイ_2_20240115_鵜殿.jpg,2024/1/15,鵜殿,34.85385666,135.6568714,大阪府,日本,,,キセキレイ
96,カワウ,ウ科,/写真保管フォルダ/カワウ_1_20240115_鵜殿.jpg,2024/1/15,鵜殿,34.85385666,135.6568714,大阪府,日本,,,カワウ
97,ハジロカイツブリ,カイツブリ科,/写真保管フォルダ/ハジロカイツブリ_1_20240115_山田池公園.jpg,2024/1/15,山田池公園,34.822314,135.690838,大阪府,日本,,,ハジロカイツブリ
98,カササギ,カラス科,/写真保管フォルダ/カササギ_1_20231123_ソウル景福宮.jpg,2023/11/23,景福宮,36.09,139.75,ソウル,韓国,,,カササギ
99,スズガモ,カモ科,/写真保管フォルダ/スズガモ_1_20230505_葛西臨海公園.jpg,2023/5/5,葛西臨海公園,35.6459,139.8577,東京都,日本,,,スズガモ
100,キョウジョシギ,シギ科,/写真保管フォルダ/キョウジョシギ_1_20230505_葛西臨海公園.jpg,2023/5/5,葛西臨海公園,35.6459,139.8577,東京都,日本,,,キョウジョシギ
101,コサギ,サギ科,/写真保管フォルダ/コサギ_1_20230505_葛西臨海公園.jpg,2023/5/5,葛西臨海公園,35.6459,139.8577,東京都,日本,,,コサギ
102,ミサゴ,ミサゴ科,/写真保管フォルダ/ミサゴ_2_20230115_谷山港.jpg,2023/1/15,谷山港,31.4951,130.5257,鹿児島県,日本,,,ミサゴ
103,カツオドリ,カツオドリ科,/写真保管フォルダ/カツオドリ_1_20230115_谷山港.jpg,2023/1/15,谷山港,31.4951,130.5257,鹿児島県,日本,,,カツオドリ
104,ヘラサギ,トキ科,/写真保管フォルダ/ヘラサギ_1_20230115_出水.jpg,2023/1/15,出水,32.0906,130.3532,鹿児島県,日本,,,ヘラサギ
105,ツクシガモ,カモ科,/写真保管フォルダ/ツクシガモ_1_20230115_出水.jpg,2023/1/15,出水,32.0906,130.3532,鹿児島県,日本,,,ツクシガモ
106,タゲリ,チドリ科,/写真保管フォルダ/タゲリ_1_20230115_出水.jpg,2023/1/15,出水,32.0906,130.3532,鹿児島県,日本,,,タゲリ
107,コクマルガラス,カラス科,/写真保管フォルダ/コクマルガラス_1_20230115_出水.jpg,2023/1/15,出水,32.0906,130.3532,鹿児島県,日本,,,コクマルガラス
108,ナベヅル,ツル科,/写真保管フォルダ/ナベヅル_1_20230115_出水.jpg,2023/1/15,出水,32.0906,130.3532,鹿児島県,日本,,,ナベヅル
109,マナヅル,ツル科,/写真保管フォルダ/マナヅル_1_20230115_出水.jpg,2023/1/15,出水,32.0906,130.3532,鹿児島県,日本,,,マナヅル
110,カツオドリ,カツオドリ科,/写真保管フォルダ/カツオドリ_2_20230115_谷山港.jpg,2023/1/15,谷山港,31.4951,130.5257,鹿児島県,日本,,,カツオドリ
111,イカルチドリ,チドリ科,/写真保管フォルダ/イカルチドリ_1_20220329_鴨川.jpg,2022/3/29,鴨川,35.03082641,135.7717346,京都府,日本,成鳥オス,,イカルチドリ
112,マミジロ,ヒタキ科,/写真保管フォルダ/マミジロ_1_20220515_大阪城公園.jpg,2022/5/15,大阪城公園,34.686603,135.527473,大阪府,日本,,,マミジロ
113,サンコウチョウ,カササギヒタキ科,/写真保管フォルダ/サンコウチョウ_1_20220515_大阪城公園.jpg,2022/5/15,大阪城公園,34.686603,135.527473,大阪府,日本,,,サンコウチョウ
114,オナガガモ,カモ科,/写真保管フォルダ/オナガガモ_1_20220303_湖北野鳥センター.jpg,2022/3/3,湖北野鳥センター,35.44697721,136.1904383,滋賀県,日本,,,オナガガモ
115,コハクチョウ,カモ科,/写真保管フォルダ/コハクチョウ_1_20220303_湖北野鳥センター.jpg,2022/3/3,湖北野鳥センター,35.44697721,136.1904383,滋賀県,日本,,,コハクチョウ
116,トビ,タカ科,/写真保管フォルダ/トビ_1_20220303_湖北野鳥センター.jpg,2022/3/3,湖北野鳥センター,35.44697721,136.1904383,滋賀県,日本,,,トビ
117,ムクドリ,ムクドリ科,/写真保管フォルダ/ムクドリ_1_20220303_湖北野鳥センター.jpg,2022/3/3,湖北野鳥センター,35.44697721,136.1904383,滋賀県,日本,,,ムクドリ
118,オオバン,クイナ科,/写真保管フォルダ/オオバン_1_20220303_湖北野鳥センター.jpg,2022/3/3,湖北野鳥センター,35.44697721,136.1904383,滋賀県,日本,,,オオバン
119,メジロ,メジロ科,/写真保管フォルダ/.メジロ_1_20220206_京都御苑jpg,2022/2/6,京都御苑,35.0253,135.7621,京都府,日本,,,メジロ
120,エナガ,エナガ科,/写真保管フォルダ/エナガ_1_20220206_京都御苑.jpg,2022/2/6,京都御苑,35.0253,135.7621,京都府,日本,,,エナガ
121,コゲラ,キツツキ科,/写真保管フォルダ/コゲラ_2_20220206_京都御苑.jpg,2022/2/6,京都御苑,35.0253,135.7621,京都府,日本,,,コゲラ
122,ツグミ,ヒタキ科,/写真保管フォルダ/ツグミ_1_20220206_京都御苑.jpg,2022/2/6,京都御苑,35.0253,135.7621,京都府,日本,,,ツグミ
123,アオバト,ハト科,/写真保管フォルダ/アオバト_1_20220206_京都御苑.jpg,2022/2/6,京都御苑,35.0253,135.7621,京都府,日本,,,アオバト
124,ギンカモメ,カモメ科,/写真保管フォルダ/ギンカモメ_1_20190925_ケアンズ.jpg,2019/9/25,ケアンズ,-16.55,145.47,ケアンズ,オーストラリア,,,ギンカモメ
125,コシグロペリカン,ペリカン科,/写真保管フォルダ/コシグロペリカン_1_20190925_ケアンズ.jpg,2019/9/25,ケアンズ,-16.55,145.47,ケアンズ,オーストラリア,,,コシグロペリカン
126,ルリオーストラリアムシクイ,ムシクイ科,/写真保管フォルダ/ルリオーストラリアムシクイ_1_20190928_グレートオーシャンロード.jpg,2019/9/28,グレートオーシャンロード,-38.39,143.06,グレートオーシャンロード,オーストラリア,,,ルリオーストラリアムシクイ
127,コクチョウ,カモ科,/写真保管フォルダ/コクチョウ_1_20190927_メルボルン.jpg,2019/9/27,メルボルン,-37.4851,144.5747,メルボルン,オーストラリア,,,コクチョウ
128,ココノエインコ,インコ科,/写真保管フォルダ/ココノエインコ_1_20190927_グレートオーシャンロード.jpg,2019/9/27,グレートオーシャンロード,-38.39,143.06,グレートオーシャンロード,オーストラリア,,,ココノエインコ
129,ナンヨウクイナ,クイナ科,/写真保管フォルダ/ナンヨウクイナ_1_20190925_グリーン島.jpg,2019/9/25,グリーン島,-27.98,151.59,ケアンズ,オーストラリア,,,ナンヨウクイナ
130,プケコ,クイナ科,/写真保管フォルダ/プケコ_1_20190925_クイーンズタウン.jpg,2019/9/25,クイーンズタウン,-45.0152,168.3945,クイーンズタウン,ニュージーランド,,,プケコ
131,ヤブツカツクリ,ツカツクリ科,/写真保管フォルダ/ヤブツカツクリ_1_20190925_ケアンズ.jpg,2019/9/25,ケアンズ,-16.55,145.47,ケアンズ,オーストラリア,,,ヤブツカツクリ
